Timestamp,velocidad_viento,precipitacion,humedad,temperatura,presion_superficie,radiacion_solar,radiacion_infrarroja
2025-01-22 06:00:00,1.79888,1.27256e-05,0.00198409,284.497,99853.5,0.0,324.457
2025-01-22 09:00:00,0.371324,2.69413e-05,0.00203802,284.202,99745.7,0.0,317.837
2025-01-22 12:00:00,0.845033,0.00011909,0.00235761,283.487,99570.0,0.0,306.207
2025-01-22 15:00:00,2.90072,0.0002428,0.00208202,286.672,99533.0,7.79123,292.604
2025-01-22 18:00:00,0.727483,4.01139e-05,0.00219685,292.214,99595.6,271.791,303.363
2025-01-22 21:00:00,2.67372,0.0,0.00311753,289.429,99485.7,517.412,324.549
2025-01-23 00:00:00,1.13777,9.66787e-05,0.00325836,288.949,99418.4,288.759,344.222
2025-01-23 03:00:00,2.18152,9.66787e-05,0.00283813,288.487,99493.0,13.9014,337.822
2025-01-23 06:00:00,4.41634,9.66787e-05,0.00201506,288.347,99580.1,0.0,310.775
2025-01-23 09:00:00,5.93006,9.66787e-05,0.00191702,288.284,99636.7,0.0,294.477
2025-01-23 12:00:00,6.83358,9.66787e-05,0.00183815,287.669,99605.2,0.0,289.823
2025-01-23 15:00:00,6.76443,9.66787e-05,0.00181126,286.097,99650.9,8.08675,286.252
2025-01-23 18:00:00,4.53833,9.66787e-05,0.00229603,292.662,99742.5,284.281,288.828
2025-01-23 21:00:00,3.08075,9.66787e-05,0.00298895,293.557,99581.7,545.065,310.674
2025-01-24 00:00:00,4.50573,0.0,0.0026173,292.774,99533.8,330.597,315.996
2025-01-24 03:00:00,6.07105,0.0,0.00202339,286.402,99587.7,15.4323,305.378
2025-01-24 06:00:00,5.36215,0.0,0.00188009,285.087,99521.9,0.0,283.764
2025-01-24 09:00:00,5.53415,0.0,0.00178883,284.539,99360.4,0.0,277.854
2025-01-24 12:00:00,4.30014,0.0,0.00163433,284.164,99247.4,0.0,275.17
2025-01-24 15:00:00,3.20348,0.0,0.00171568,284.552,99222.4,8.392,283.663
2025-01-24 18:00:00,0.34382,0.0,0.00247575,290.679,99223.7,282.585,289.376
2025-01-24 21:00:00,2.80537,0.0,0.00205577,289.577,98921.0,544.521,305.096
2025-01-25 00:00:00,1.06194,0.0,0.00216924,287.504,98801.8,325.611,305.541
2025-01-25 03:00:00,1.78226,0.0,0.00266672,284.339,98808.9,15.6983,298.169
2025-01-25 06:00:00,1.63788,0.0,0.00281201,283.457,98810.4,0.0,292.063
2025-01-25 09:00:00,0.787599,0.0,0.00289998,282.654,98675.9,0.0,314.881
2025-01-25 12:00:00,1.14893,0.0,0.00321612,282.327,98570.2,0.0,314.479
2025-01-25 15:00:00,1.29524,0.0,0.0026574,282.397,98628.8,9.08518,293.994
2025-01-25 18:00:00,3.26203,0.0,0.00399022,287.584,98828.4,243.959,318.448
2025-01-25 21:00:00,7.5182,0.0,0.00498715,288.612,98676.4,515.695,332.142
2025-01-26 00:00:00,6.01989,0.0,0.00626349,286.487,98705.3,327.436,315.206
2025-01-26 03:00:00,3.24815,0.0,0.00634207,283.027,98847.2,13.9483,338.767
2025-01-26 06:00:00,3.50507,0.0,0.00564273,284.354,98978.6,0.0,337.453
2025-01-26 09:00:00,2.90416,0.0,0.00585802,284.682,98970.7,0.0,341.046
2025-01-26 12:00:00,3.7626,0.0,0.00644831,284.822,98974.5,0.0,342.769
2025-01-26 15:00:00,3.34159,0.0,0.00672439,284.587,99113.9,6.64106,341.369
2025-01-26 18:00:00,5.87309,0.0,0.00662129,285.914,99293.3,241.486,338.841
2025-01-26 21:00:00,4.34283,0.0,0.00657051,285.704,99152.1,476.702,338.135
2025-01-27 00:00:00,2.90366,0.0,0.00644759,284.994,99108.0,290.673,332.75
2025-01-27 03:00:00,2.49185,0.0,0.00653286,284.274,99138.7,13.5515,344.135
2025-01-27 06:00:00,2.96751,0.0,0.00632908,283.139,99175.2,0.0,347.274
2025-01-27 09:00:00,2.56718,0.0,0.0063979,283.622,99161.7,0.0,344.568
2025-01-27 12:00:00,1.1601,0.0,0.00569348,281.589,99119.6,0.0,339.146
2025-01-27 15:00:00,1.10255,0.0,0.0054987,281.479,99275.5,2.7671,306.619
2025-01-27 18:00:00,2.64684,0.0,0.00563264,284.484,99396.9,258.289,307.403
2025-01-27 21:00:00,3.38252,0.0,0.005482,284.802,99239.1,525.02,311.434
2025-01-28 00:00:00,1.62321,0.0,0.00551235,284.399,99228.8,315.668,312.432
2025-01-28 03:00:00,0.651919,0.0,0.00559409,282.222,99249.7,14.6719,315.484
2025-01-28 06:00:00,0.733966,0.0,0.00536086,281.539,99272.9,0.0,290.935
2025-01-28 09:00:00,1.29139,0.0,0.0052093,280.842,99213.8,0.0,284.768
2025-01-28 12:00:00,1.50686,0.0,0.00504864,280.314,99162.2,0.0,289.053
2025-01-28 15:00:00,2.18536,0.0,0.00498129,280.484,99226.5,9.71112,279.143
2025-01-28 18:00:00,1.34747,0.0,0.00496624,283.904,99304.9,298.146,282.253
2025-01-28 21:00:00,3.66684,0.0,0.0054242,284.392,99100.5,506.84,319.973
2025-01-29 00:00:00,1.75972,0.0,0.00616701,284.217,99063.5,292.489,330.808
2025-01-29 03:00:00,2.36192,0.0,0.00638967,284.592,99206.7,14.1593,324.533
2025-01-29 06:00:00,0.802623,0.0,0.00633252,282.884,99296.5,0.0,348.504
2025-01-29 09:00:00,0.969517,0.0,0.00617895,282.267,99241.6,0.0,348.687
